Accession,Pangolin,Length,Country,Collection_Date,Year,Month,Day
ON974872,BA.2.10,29785,Bangladesh,2022-01-27,2022,1,27
ON909199,B.1.617.2,29799,Bangladesh,2021-07-07,2021,7,7
ON909203,AY.122,29807,Bangladesh,2021-07-13,2021,7,13
ON810538,BA.2,29823,Bangladesh,2022-01-27,2022,1,27
ON810539,BA.2.10.1,29810,Bangladesh,2022-01-27,2022,1,27
ON026021,BA.1,29787,Bangladesh,2022-01-03,2022,1,3
ON026029,BA.1.1,29794,Bangladesh,2022-01-16,2022,1,16
ON026031,BA.2.37,29758,Bangladesh,2022-01-20,2022,1,20
ON026042,BA.1.18,29786,Bangladesh,2022-01-06,2022,1,6
OM967280,B.1.1.25,29867,Bangladesh,2020-07-11,2020,7,11
OM967282,B.1.36.16,29863,Bangladesh,2020-07-07,2020,7,7
OM967283,B.1.36.8,29879,Bangladesh,2020-07-13,2020,7,13
OM967295,B.1.1.25,29882,Bangladesh,2020-09-09,2020,9,9
OM967301,B.1.1.25,29841,Bangladesh,2020-08-11,2020,8,11
OM967306,B.1.1.25,29879,Bangladesh,2020-10-23,2020,10,23
OM967308,B.1.36.8,29876,Bangladesh,2020-10-25,2020,10,25
OM967309,B.1.36.16,29875,Bangladesh,2020-10-26,2020,10,26
OM967318,B.1.36.8,29874,Bangladesh,2020-08-11,2020,8,11
OM967321,B.1.36.8,29855,Bangladesh,2020-11-15,2020,11,15
OM967323,B.1.1,29847,Bangladesh,2020-11-19,2020,11,19
OM967325,B.1.1,29878,Bangladesh,2020-08-12,2020,8,12
OM967333,B.1.1.25,29884,Bangladesh,2020-11-02,2020,11,2
OM760599,BA.1.17.2,29794,Bangladesh,2022-01-19,2022,1,19
OM721708,B.1.617.2,29819,Bangladesh,2021-08-14,2021,8,14
OM721738,B.1.617.2,29793,Bangladesh,2021-09-04,2021,9,4
OM570262,BA.1,29743,Bangladesh,2021-12-14,2021,12,14
OM570263,B.1.1,29740,Bangladesh,2021-12-19,2021,12,19
OM574616,BA.1.15,29839,Bangladesh,2021-12-08,2021,12,8
OM574620,BA.2,29829,Bangladesh,2021-12-08,2021,12,8
OM533457,BA.2.10.3,29757,Bangladesh,2022-01-18,2022,1,18
OM277001,AY.65,29811,Bangladesh,2021-08-07,2021,8,7
OM278238,B.1.617.2,29803,Bangladesh,2021-10-06,2021,10,6
OM278269,AY.122,29801,Bangladesh,2021-09-16,2021,9,16
OM278316,AY.127,29819,Bangladesh,2021-09-30,2021,9,30
OM090139,B.1.617.2,29800,Bangladesh,2021-11-14,2021,11,14
OM090140,AY.122,29814,Bangladesh,2021-11-14,2021,11,14
OM090162,AY.122,29804,Bangladesh,2021-08-02,2021,8,2
OM049447,AY.112,29811,Bangladesh,2021-08-01,2021,8,1
OM019123,AY.65,29805,Bangladesh,2021-09-22,2021,9,22
OL989398,AY.127,29808,Bangladesh,2021-08-12,2021,8,12
OL966510,AY.75.2,29814,Bangladesh,2021-07-14,2021,7,14
OL966515,AY.65,29809,Bangladesh,2021-07-14,2021,7,14
OL910953,AY.122,29814,Bangladesh,2021-06-29,2021,6,29
OL910954,B.1.617.2,29818,Bangladesh,2021-06-29,2021,6,29
OL910991,AY.127,29811,Bangladesh,2021-06-29,2021,6,29
LC647128,B.1,29733,Bangladesh,2020-04-25,2020,4,25
LC647129,B.1.1.25,29806,Bangladesh,2020-05-03,2020,5,3
LC647134,B.1,29805,Bangladesh,2020-05-10,2020,5,10
LC647137,B.1.1,29645,Bangladesh,2020-05-12,2020,5,12
LC647144,B.1.36.16,29782,Bangladesh,2020-05-16,2020,5,16
MZ749905,B.1,29866,Bangladesh,2020-06-11,2020,6,11
MZ749907,B.1.1.25,29866,Bangladesh,2020-06-11,2020,6,11
MZ749908,B.1.1,29873,Bangladesh,2020-06-11,2020,6,11
MZ562479,B.1.1.25,29848,Bangladesh,2021-03-19,2021,3,19
MZ562480,B.1.351.3,29836,Bangladesh,2021-03-19,2021,3,19
MZ562482,B.1.1.25,29849,Bangladesh,2020-12-05,2020,12,5
MZ562489,B.1.351,29825,Bangladesh,2021-03-08,2021,3,8
MZ562491,B.1.1,29848,Bangladesh,2021-02-14,2021,2,14
MZ413878,B.1,29782,Bangladesh,2021-05-27,2021,5,27
MZ413974,B.1.1.7,29766,Bangladesh,2021-03-16,2021,3,16
MZ413975,B.1.1.7,29766,Bangladesh,2020-12-31,2020,12,31
MZ413976,B.1.1.7,29763,Bangladesh,2021-02-04,2021,2,4
MZ413985,B.1.1.7,29767,Bangladesh,2021-04-12,2021,4,12
MZ401459,B.1.617.2,29782,Bangladesh,2021-05-27,2021,5,27
MZ148598,B.1.1,29870,Bangladesh,2020-12-03,2020,12,3
MZ020420,P.1.14,29853,Bangladesh,2021-02-18,2021,2,18
MW624725,B.1.1.7,29842,Bangladesh,2021-01-31,2021,1,31
MT800891,B.1.36.8,29822,Bangladesh,2020-06-30,2020,6,30
MT913012,B.1.1,29824,Bangladesh,2020-07-20,2020,7,20
MT581410,B.1.1.25,29822,Bangladesh,2020-04-29,2020,4,29
MT581412,B.1.1,29822,Bangladesh,2020-04-29,2020,4,29
MT581432,B.1.1.175,29812,Bangladesh,2020-04-29,2020,4,29
MT607974,B.1.1.175,29826,Bangladesh,2020-05-24,2020,5,24
MT847215,B.1,29903,Bangladesh,2020-07-14,2020,7,14
MT755916,B.1.159,29880,Bangladesh,2020-07-06,2020,7,6
